
2024/03/03 (13:36:01) | ===> btop++ v.1.3.2
2024/03/03 (13:50:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:50:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:51:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:52:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:53:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:54:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:55:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
